"Years","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"            Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"384375","388078","392284","395727","398593","401096","403274","404100","404309","405052","405539","406134","403009","401115","398021","395951","392500","390593","389119",
"            Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2801959","2873599","2920336","2943920","2978581","3013905","3069525","3119475","3172306","3220602","3266657","3314099","3346495","3386346","3427946","3486887","3538421","3578767","3622100",
"            Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1759350","1767632","1776119","1787173","1799505","1809907","1822406","1833397","1844286","1855775","1868862","1883098","1881804","1887630","1891045","1891144","1888288","1885706","1885548",
"            Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1281125","1331898","1379337","1427124","1491186","1548805","1607840","1656263","1687991","1703401","1712026","1715638","1728281","1740483","1759056","1781517","1806571","1834177","1869214",
"            Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7447155","7484230","7534367","7593604","7647458","7703193","7767082","7819514","7861869","7915281","7961870","8002392","7985266","7970981","7950871","7918887","7881870","7847350","7822519",
"            West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1128899","1129271","1134317","1140610","1144641","1148800","1153170","1155916","1158186","1163790","1168817","1169376","1160509","1151172","1139350","1126663","1111455","1095172","1081794",
"            District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"387779","391034","391322","389727","391144","393347","399064","404046","411194","422330","434714","445536","454440","463524","469426","476156","482878","487027","489658",
"            Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2736496","2754788","2780904","2807233","2840258","2863733","2708126","2753943","2788995","2828278","2865914","2887178","2890755","2897302","2896052","2894864","2887300","2867079","2845629",
"            Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1729982","1740014","1750133","1760938","1777280","1788874","1789791","1804223","1816918","1824267","1834842","1842159","1838647","1838608","1832842","1824581","1817930","1813566","1805914",
"            North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"386961","388704","391080","394643","401268","404014","407709","410831","414322","419722","426656","433928","443034","456016","464190","472920","469321","465517","464742",
"            Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1331590","1362529","1393358","1418091","1443953","1477059","1514684","1555360","1590580","1622174","1650172","1674027","1694215","1718332","1739481","1765582","1802586","1841266","1878165",
"            California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21112439","21502346","21814596","22103184","22372695","22583125","22777740","22967455","23225956","23502235","23766813","24004370","24175068","24352731","24536675","24692841","24802555","24864116","24898065",
"            Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3763065","3792138","3817196","3849741","3877489","3908457","3942125","3970197","3995680","4018873","4040003","4060633","4058988","4067593","4069603","4063479","4063197","4063459","4068727",
"            Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1031010","1039248","1048379","1059201","1068880","1079153","1087359","1093772","1101843","1112008","1122492","1130381","1133513","1137565","1141479","1143018","1146155","1147087","1148761",
"            Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2143215","2176841","2214716","2242982","2261223","2293797","2332160","2366954","2395040","2419666","2434637","2456249","2459413","2462432","2475807","2499148","2538972","2563322","2578455",
"            Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3730379","3798239","3857244","3902128","3958887","4019844","4099876","4159072","4224436","4286407","4326306","4376653","4399785","4425306","4464861","4520490","4588851","4656407","4708074",
"            Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"489290","496225","504161","512904","521765","531083","539711","547389","554042","558766","563972","568752","570245","572849","575234","577407","578678","579676","582469",
"            Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2548442","2566870","2586006","2604951","2628873","2650855","2669659","2692338","2707215","2724826","2744244","2757291","2753226","2753508","2744959","2740463","2734608","2731841","2728947",
"        Children (15 and under) (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64344519","64534135","64660906","64801304","64916665","64976015","64923224","65046110","65226366","65347488","65431557","65326992","65256615","65215899","65216561","65247793","65174956","65073983","65026662",
"            Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"784154","779314","779564","780500","779850","783145","790039","798898","805841","818607","829079","834649","840390","848496","851593","856246","856192","853096","851021",
"            Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1551726","1561139","1572028","1580900","1597273","1606798","1609904","1613643","1619602","1628546","1639657","1644245","1652214","1656245","1656837","1658005","1657160","1657209","1658424",
"            Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1211728","1217198","1221983","1224278","1224064","1218805","1207678","1197485","1190130","1187668","1189731","1189648","1190391","1189913","1193475","1193088","1190642","1188501","1188086",
"            New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1870050","1880413","1888083","1893273","1890373","1875079","1851292","1833528","1823084","1817784","1812462","1801302","1787568","1773903","1762350","1749359","1736132","1728462","1724478",
"            Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"994341","991731","987348","984672","985133","986580","990560","993555","998213","998350","996463","992417","988418","982771","977849","974030","969307","964703","963206",
"            Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1942057","1976121","2005351","2031699","2056239","2091674","2130779","2172886","2196890","2203220","2208061","2208229","2209449","2208633","2210084","2215646","2217923","2215326","2214474",
"            Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"261994","261330","261236","261710","264561","264676","264287","264206","265752","268105","269339","272114","274599","276660","276263","276641","275830","274092","272477",
"            Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1342113","1341491","1333973","1323062","1306143","1287587","1268818","1255889","1250703","1246265","1242643","1236640","1232222","1229085","1224252","1217798","1209775","1204604","1200633",
"            Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"169099","166831","165910","164519","163973","162856","162359","160997","160657","164413","166696","167687","167947","168142","166973","166373","166816","165827","164566",
"            New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4176646","4156706","4128156","4092179","4040971","3971703","3898491","3847248","3820024","3799884","3786422","3773179","3756198","3741015","3719204","3700052","3668816","3634510","3605556",
"            Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1244163","1250862","1256063","1265649","1272836","1283607","1297266","1306237","1318146","1320530","1322383","1320557","1323373","1325338","1326970","1328373","1328790","1331314","1334122",
"            Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1072155","1059637","1051270","1047355","1045008","1040103","947203","964428","977763","984170","989487","991064","991846","991660","992134","992220","989072","982242","975427",
"            Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"464182","480464","495717","509785","529497","546765","564406","580858","588696","591598","589168","584032","581902","583169","587190","593533","599558","604922","612840",
"            District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103048","103182","102645","100336","98644","96156","93531","91585","90326","90173","89672","92728","96956","101482","105196","108543","111089","114318","116888",
"            Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2561742","2550720","2533677","2520017","2506359","2485767","2463366","2446114","2429392","2414795","2396536","2373838","2354538","2344283","2334305","2322366","2307610","2296973","2289344",
"            Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"129579","127807","126088","124395","122659","120429","118111","116288","114812","113372","112079","110456","109078","107665","106216","104781","103258","102315","101705",
"            Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"264772","262553","260417","258611","256462","253814","250276","247737","244751","241412","238264","235057","232159","229503","227239","224335","222655","221321","219927",
"            New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"275856","276645","275980","274160","271520","268893","265669","261142","257099","253109","249045","244883","240525","236953","233630","231269","229293","227564","225633",
"            Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3248076","3292531","3339579","3379537","3436385","3494687","3525949","3527176","3524447","3511664","3514823","3521609","3536599","3552149","3580247","3624020","3670612","3707047","3740400",
"            South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"897509","901486","904725","907655","911525","915429","922004","933663","945568","952583","955014","954371","956940","958460","962877","969237","972051","975798","980362",
"            Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111814","109427","109004","108137","108531","108939","110141","113201","116219","119791","120646","120929","122153","123201","123705","124849","123953","121627","120343",
"            Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1398432","1402362","1401853","1404774","1407923","1412423","1415442","1418854","1422766","1422689","1420568","1414491","1407784","1405523","1401603","1396760","1391613","1387707","1386734",
"            Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"683677","679140","674482","672705","674695","673756","666531","670377","671396","669152","665940","662187","658690","653829","649494","644125","637463","630598","625350",
"            California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8289568","8329866","8346929","8373748","8366435","8325955","8251000","8188826","8177598","8165321","8163338","8140581","8112526","8097455","8090269","8084609","8052834","8012141","7980046",
"            New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"448631","443385","442470","440310","440802","442275","443596","446803","450187","455094","458924","458860","456402","453307","448196","443181","437930","431889","426529",
"            South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"177473","175599","173739","172730","172711","172639","173472","175201","176521","178238","180538","181841","183545","185851","187770","189216","191238","193625","195184",
"            Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"880553","880505","881291","885139","886040","889844","893202","896378","902379","903697","906896","906098","904484","903955","900968","897878","895737","894576","894625",
"            Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"396391","394073","393661","394319","395867","397041","397239","398796","401513","405122","409063","410439","412805","415234","417805","420581","422766","424064","425044",
"            Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"173604","174229","174748","175762","177020","178449","179057","179879","180909","181201","180965","180730","180956","180682","180449","180589","180190","180028","180386",
"            Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2583841","2568794","2551564","2536309","2522620","2503842","2485429","2471997","2460669","2450629","2437935","2422411","2407832","2393328","2382319","2370673","2354734","2344038","2337222",
"            West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"351744","347579","345895","345276","345436","344307","343175","342569","342362","342125","341553","340065","339757","338371","336878","334570","330517","325728","321718",
"            Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"221056","220636","220642","219833","217324","212734","207156","203162","200256","196997","194936","192707","190463","188356","186371","184805","183374","181668","180341",
"            Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1208488","1203154","1198158","1192880","1190042","1185425","1181503","1180850","1180911","1180828","1178269","1171010","1164768","1158406","1151990","1145036","1136992","1131749","1127291",
"            Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2887902","2884872","2876126","2866622","2851143","2829671","2804044","2788896","2776719","2765380","2752496","2725766","2700875","2674410","2646513","2619333","2586777","2553599","2523081",
"            Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1139060","1138397","1133351","1130474","1129407","1126742","1125959","1128769","1131433","1133862","1135230","1134856","1134140","1136638","1140814","1143430","1148209","1153643","1158915",
"            Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"600745","600091","599548","601089","604681","610244","616225","619878","623686","627269","631462","632291","632430","630006","627647","626837","625533","624919","623852",
"            North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"139685","135695","132938","131036","130439","129546","128730","129063","129587","131279","133222","135829","140484","146353","151214","156645","158040","159052","161406",
"            Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"637206","643186","650865","659492","671248","686302","706014","730202","751658","771659","787630","794725","800328","807270","811491","816119","822087","826992","830938",
"            Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"748971","749524","751061","750819","747559","748687","752459","756629","761707","764381","766113","765165","762561","759846","762065","765132","770587","773422","775064",
"            Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1343659","1342218","1339790","1337509","1342566","1342866","1350737","1360675","1372224","1387141","1398848","1405532","1410543","1415941","1423117","1434619","1450863","1468264","1482294",
"            Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"630707","626940","625160","624546","623277","622532","621577","628007","633217","640573","647153","646858","647417","646054","643834","641314","636546","631594","627189",
"            Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200750","197587","195132","194069","193397","193295","193245","194312","195767","196314","196893","197187","197533","199041","200199","201383","202668","203749","203860",
"            Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"754576","755790","755453","755791","751656","743892","735214","728007","723074","718258","712399","703885","695368","684288","675274","665116","655315","648311","642325",
"            North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1761184","1792064","1815728","1838235","1856998","1885902","1917649","1960601","1993358","2014692","2024963","2027514","2028954","2030173","2029239","2027673","2027979","2029949","2033731",
"            Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5251595","5316807","5385216","5453714","5522268","5595524","5724093","5827267","5931754","6040560","6122325","6178146","6235383","6292292","6370027","6454165","6507276","6541430","6575804",
"            Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"326023","328566","331719","335788","341066","349857","358525","367907","375478","379535","382955","382738","381651","382175","383893","385356","388240","392442","395835",
"            Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2310395","2302899","2288478","2274598","2256738","2232219","2192922","2152882","2110150","2073649","2042926","2016215","1994585","1976958","1960205","1941393","1926565","1914520","1904719",
"            Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1229024","1250635","1273610","1296337","1323222","1361987","1398299","1425888","1446550","1445125","1445077","1435505","1437106","1438545","1442682","1445940","1448941","1449812","1455293",
"            Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"645006","640573","636110","634752","634518","633637","634859","636301","639654","642050","644603","643858","643524","645241","647018","648168","648269","648818","648871",
"            Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1263682","1260466","1256619","1255001","1254886","1254956","1255655","1257072","1257318","1257386","1257589","1250908","1244985","1239880","1235281","1230982","1226354","1222831","1220293",
"            Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"984087","1000915","1009773","1015218","1016675","1025974","1038087","1053298","1067450","1081243","1093078","1098960","1103271","1107765","1113347","1121401","1122785","1121054","1122810",
"    Race",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        White (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"194713000","196634941","198037360","199420087","200707727","202031343","203429819","204770146","206129014","207539903","209366661","211606011","213945622","216187073","218304774","220384783","222420050","224553464","226648119","228687790","228530479","230049196","231446915","232717191","234120447","235491577","236954818","238378087","239783014","241034399","242235328","243292145","244354778","245308889","246350641","247382690","248413058","249270773","249961025","250522190"
"        Black or African American (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26683000","27133356","27508316","27867416","28212477","28568658","28941763","29324578","29722999","30143449","30648345","31290743","31979982","32634735","33258981","33847306","34415478","35007679","35594140","36173121","35814706","36263029","36684650","37066096","37510582","37961688","38443048","38935533","39429414","39902270","40355385","40783547","41225339","41651863","42090120","42532491","42970183","43374142","43732024","44075086"
"        Asian (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3729000","4213992","4581276","4908787","5249129","5606129","5978210","6343072","6723845","7134492","7549082","7957219","8386444","8814728","9200988","9604552","10023883","10459307","10885809","11346496","11173178","11669880","12156530","12625915","13090057","13576467","14066685","14547694","15030973","15491716","15261408","15721072","16195092","16679752","17203569","17752744","18279949","18764237","19134105","19504862"
