School year,County,District,School Name,BEDS Code,Grade Organization,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon PossessionThrough Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2010-2011,BRONX,New York City Geographic District # 8,Jhs 131 Albert Einstein,320800010131,Middle School,New York City,Public,857,0,0,0,0,0,8,0,1,0,2,0,0,0,2,3,0,0,1,61,5,25,0,0,0,5,0,2,1,0,0,0,0,6,1,0,51
2010-2011,BRONX,New York City Geographic District # 8,Millenium Art Academy,320800010312,Senior High,New York City,Public,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,1,7
2010-2011,BRONX,New York City Geographic District # 8,Mott Hall Community School,320800010467,Junior High School,New York City,Public,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
2010-2011,BRONX,New York City Geographic District # 8,Ms 101 Edward R Byrne,320800010101,Middle School,New York City,Public,457,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,1,2,24,0,10,0,0,0,0,0,2,0,0,0,0,0,2,0,0,17
2010-2011,BRONX,New York City Geographic District # 8,Ms 301 Paul L Dunbar,320800010301,Middle School,New York City,Public,338,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0
2010-2011,BRONX,New York City Geographic District # 8,Ms 302 Luisa Dessus Cruz,320800010302,Middle School,New York City,Public,724,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1
2010-2011,BRONX,New York City Geographic District # 8,Pablo Neruda Academy For Architecture And World Studies,320800011305,Senior High,New York City,Public,367,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,17,0,2,0,0,0,2,0,0,0,0,0,0,3,0,2,0,11
2010-2011,BRONX,New York City Geographic District # 8,Ps 100 Isaac Clason,320800010100,Elementary,New York City,Public,690,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,1,2,68,2,8,0,0,0,9,0,2,0,4,0,0,0,2,0,0,28
2010-2011,BRONX,New York City Geographic District # 8,Ps 107,320800010107,Elementary,New York City,Public,509,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2010-2011,BRONX,New York City Geographic District # 8,Ps 119,320800010119,Elementary,New York City,Public,948,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,1,2,39,1,5,0,0,0,5,0,0,0,1,0,0,0,0,0,0,12
2010-2011,BRONX,New York City Geographic District # 8,Ps 130 Abram Stevens Hewitt,320800010130,Elementary,New York City,Public,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
2010-2011,BRONX,New York City Geographic District # 8,Ps 138 Samuel Randall,320800010138,Elementary,New York City,Public,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,22,1,6,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1
2010-2011,BRONX,New York City Geographic District # 8,Ps 14 Senator John Calandra,320800010014,Elementary,New York City,Public,618,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2010-2011,BRONX,New York City Geographic District # 8,Ps 140 The Eagle School,320800010140,Elementary,New York City,Public,596,0,0,0,0,1,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2010-2011,BRONX,New York City Geographic District # 8,Ps 146 Edward Collins,320800010146,Elementary,New York City,Public,457,0,0,0,0,0,1,0,0,0,0,0,0,0,3,6,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BRONX,New York City Geographic District # 8,Ps 152 Evergreen,320800010152,Elementary,New York City,Public,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BRONX,New York City Geographic District # 8,Ps 182,320800010182,Elementary,New York City,Public,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2010-2011,BRONX,New York City Geographic District # 8,Ps 304 Early Childhood School,320800010304,Elementary,New York City,Public,540,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BRONX,New York City Geographic District # 8,Ps 333 The Museum School,320800010333,Elementary,New York City,Public,457,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
2010-2011,BRONX,New York City Geographic District # 8,Ps 36 Unionport,320800010036,Elementary,New York City,Public,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
