School Year,County,District,School Name,BEDS Code,Grade Organization,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon Possession Through Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2012-2013,Kings,New York City Geographic District #23,Ps 178 Saint Clair Mckelway,332300010178,Elementary,New York City,Public,527,0,0,0,0,0,1,0,0,0,2,1,0,0,0,2,1,1,0,5,0,1,0,0,0,0,0,1,1,0,0,0,0,3,2,0,1
2012-2013,Kings,New York City Geographic District #23,Ps 184 Newport,332300010184,Elementary,New York City,Public,579,0,0,0,0,0,4,0,0,0,3,0,0,0,2,8,1,1,1,28,0,9,0,0,0,1,0,3,0,1,0,0,0,3,1,0,2
2012-2013,Kings,New York City Geographic District #23,Ps 284 Lew Wallace,332300010284,Elementary,New York City,Public,550,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,3,1,16,1,16,0,0,0,1,0,2,0,0,0,0,0,2,1,0,8
2012-2013,Kings,New York City Geographic District #23,Ps 298 Dr Betty Shabazz,332300010298,Elementary,New York City,Public,373,0,0,0,0,0,0,0,0,0,0,1,0,0,4,17,0,2,5,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-2013,Kings,New York City Geographic District #23,Ps 327 Dr Rose B English,332300010327,Elementary,New York City,Public,685,0,0,0,0,0,4,0,1,0,0,0,0,0,0,7,0,1,0,34,4,20,0,0,0,1,0,0,1,1,0,0,0,3,0,0,37
2012-2013,Kings,New York City Geographic District #23,Ps 332 Charles H Houston School,332300010332,Elementary,New York City,Public,109,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1
2012-2013,Kings,New York City Geographic District #23,Ps 41 Francis White,332300010041,Elementary,New York City,Public,596,0,0,0,0,0,2,0,0,0,3,1,0,0,0,9,0,2,0,13,1,3,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0
2012-2013,Kings,New York City Geographic District #23,Ps 73 Thomas S Boyland,332300010073,Elementary,New York City,Public,412,0,0,0,0,0,2,0,0,0,0,0,0,0,1,10,0,0,1,16,0,1,0,0,0,2,0,1,0,0,0,0,0,0,2,0,2
2012-2013,Kings,New York City Geographic District #23,Ps/is 137 Rachael Jean Mitchell,332300010137,Elementary,New York City,Public,299,0,0,0,0,0,3,0,1,0,1,2,0,0,3,5,0,0,0,4,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
2012-2013,Kings,New York City Geographic District #23,Ps/is 155 Nicholas Herkimer,332300010155,Elementary,New York City,Public,535,0,0,0,0,0,3,0,1,0,0,0,0,0,0,5,1,1,3,19,0,4,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1
2012-2013,Kings,New York City Geographic District #23,Ps/is 323,332300010323,Elementary,New York City,Public,485,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012-2013,Kings,New York City Geographic District #23,Riverdale Avenue Community School,332300010446,,New York City,Public,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2012-2013,Kings,New York City Geographic District #23,Teachers Preparatory High School,332300011697,Junior-Senior High,New York City,Public,519,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,8,0,7,0,0,0,0,0,4,0,1,0,0,0,3,0,0,4
2012-2013,Kings,New York City Geographic District #32,Academy For Environmental Leadership,333200011403,Senior High,New York City,Public,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,7,0,1,0,1
2012-2013,New York,New York City Geographic District # 4,Ps 112 Jose Celso Barbosa,310400010112,Elementary,New York City,Public,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Kings,New York City Geographic District #32,Academy Of Urban Planning,333200011552,Senior High,New York City,Public,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,8,0,3,0,0
2012-2013,Kings,New York City Geographic District #32,All City Leadership Secondary School,333200011554,Junior-Senior High,New York City,Public,295,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2012-2013,Kings,New York City Geographic District #32,Brooklyn School For Math And Research,333200011168,,New York City,Public,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4
2012-2013,Kings,New York City Geographic District #32,Bushwick Community High School,333200010564,Senior High,New York City,Public,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0
2012-2013,Kings,New York City Geographic District #32,Bushwick Leaders Hs For Academic Excellence,333200011556,Senior High,New York City,Public,414,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,2,0,30,1,9,0,0,0,2,0,1,0,0,0,0,0,2,0,1,38
2012-2013,Kings,New York City Geographic District #32,Bushwick School For Social Justice,333200011549,Senior High,New York City,Public,421,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,7,0,4,2,2
2012-2013,Kings,New York City Geographic District #32,Ebc High School For Public Service-bushwick,333200011545,Senior High,New York City,Public,515,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2012-2013,Kings,New York City Geographic District #32,Evergreen Middle School For Urban Exploration,333200010562,,New York City,Public,149,0,0,0,0,0,0,0,1,0,2,0,0,0,0,6,0,1,3,16,0,5,0,0,0,3,0,1,0,0,0,0,0,0,0,0,9
2012-2013,Kings,New York City Geographic District #32,Is 347 School Of Humanities,333200010347,Middle,New York City,Public,431,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,13,0,9,0,0,0,1,0,0,0,1,0,0,0,0,1,0,4
2012-2013,Kings,New York City Geographic District #32,"Is 349 Math, Science And Technology",333200010349,Middle,New York City,Public,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Kings,New York City Geographic District #32,Jhs 162 The Willoughby ,333200010162,Middle,New York City,Public,547,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,1,0,54,0,13,0,0,0,2,0,2,0,1,0,0,0,2,1,0,48
2012-2013,Kings,New York City Geographic District #32,Jhs 291 Roland Hayes ,333200010291,Middle,New York City,Public,591,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,12,1,4,0,0,0,5,0,2,0,0,0,0,4,1,3,0,10
2012-2013,Kings,New York City Geographic District #32,Jhs 296 The Anna Gonzalez Community School,333200010296,Junior High,New York City,Public,250,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,1,18,1,5,0,0,0,0,0,0,2,1,0,0,0,1,1,0,4
2012-2013,Kings,New York City Geographic District #32,Jhs 383 Philippa Schuyler,333200010383,Middle,New York City,Public,842,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2012-2013,Kings,New York City Geographic District #32,Ps 106 Edward Everett Hale ,333200010106,Elementary,New York City,Public,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Kings,New York City Geographic District #32,Ps 116 Elizabeth L Farrell,333200010116,Elementary,New York City,Public,531,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-2013,Kings,New York City Geographic District #32,Ps 123 Suydam,333200010123,Elementary,New York City,Public,845,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,11,1,3,0,0,0,3,0,2,0,0,0,0,0,1,0,0,3
2012-2013,Kings,New York City Geographic District #32,Ps 145 Andrew Jackson,333200010145,Elementary,New York City,Public,845,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Kings,New York City Geographic District #32,Ps 151 Lyndon B Johnson,333200010151,Elementary,New York City,Public,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Kings,New York City Geographic District #32,Ps 274 Kosciusko,333200010274,Elementary,New York City,Public,603,0,0,0,0,0,4,0,0,0,1,1,0,0,1,2,0,1,2,15,2,2,0,0,0,1,0,0,1,0,0,0,0,3,0,0,2
2012-2013,Kings,New York City Geographic District #32,Ps 299 Thomas Warren Field School,333200010299,Elementary,New York City,Public,383,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,18,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,2
2012-2013,Kings,New York City Geographic District #32,Ps 377 Alejandina B De Gautier,333200010377,Elementary,New York City,Public,590,0,0,0,0,0,2,0,0,0,1,1,0,0,2,8,0,2,0,24,3,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,4
2012-2013,Kings,New York City Geographic District #32,Ps 45 Horace E Greene,333200010045,Elementary,New York City,Public,849,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Kings,New York City Geographic District #32,Ps 75 Mayda Cortiella,333200010075,Elementary,New York City,Public,598,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Kings,New York City Geographic District #32,Ps 86 The Irvington,333200010086,Elementary,New York City,Public,469,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-2013,Kings,New York City Geographic District #32,Ps/is 384 Frances E Carter,333200010384,Elementary,New York City,Public,699,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,5
2012-2013,New York,New York City Geographic District # 1,Bard High School Early College,310100011696,Senior High,New York City,Public,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2012-2013,New York,New York City Geographic District # 1,Cascades High School,310100011650,Senior High,New York City,Public,219,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2012-2013,New York,New York City Geographic District # 1,Children's Workshop School (the),310100010361,Elementary,New York City,Public,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,New York,New York City Geographic District # 1,"Collaborative Acad Of Science, Technology And Language Arts Ed",310100010345,Middle,New York City,Public,231,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,0,20,0,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,44
2012-2013,New York,New York City Geographic District # 1,Earth School,310100010364,Elementary,New York City,Public,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2012-2013,New York,New York City Geographic District # 1,East Side Community School,310100011450,Junior-Senior High,New York City,Public,624,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,8,0,0,0,1,0,0,0,0,0,0,2,1,0,0,5
2012-2013,New York,New York City Geographic District # 1,East Village Community School (the),310100010315,Elementary,New York City,Public,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
2012-2013,New York,New York City Geographic District # 1,Forsythe Satellite Academy,310100011458,Senior High,New York City,Public,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2012-2013,New York,New York City Geographic District # 1,Henry Street School For International Studies,310100011292,Junior-Senior High,New York City,Public,389,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,21,1,6,0,0,0,2,0,1,0,1,0,0,0,0,0,0,5
2012-2013,New York,New York City Geographic District # 1,Lower East Side Preparatory High School,310100011515,Senior High,New York City,Public,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-2013,New York,New York City Geographic District # 1,Marta Valle High School,310100011509,Senior High,New York City,Public,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2012-2013,New York,New York City Geographic District # 1,Neighborhood School,310100010363,Elementary,New York City,Public,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-2013,New York,New York City Geographic District # 1,"New Explorations Into Science,tech And Math High School",310100011539,K-12,New York City,Public,1669,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,2,7,0,2,0,0,0,1,0,4,0,0,0,0,0,2,1,1,9
2012-2013,New York,New York City Geographic District # 1,Ps 110 Florence Nightingale,310100010110,Elementary,New York City,Public,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,New York,New York City Geographic District # 1,Ps 134 Henrietta Szold,310100010134,Elementary,New York City,Public,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,New York,New York City Geographic District # 1,Ps 137 John L Bernstein,310100010137,Elementary,New York City,Public,182,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-2013,New York,New York City Geographic District # 6,Ms 324 Patria Mirabal,310600010324,Middle,New York City,Public,435,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2012-2013,New York,New York City Geographic District # 1,Ps 140 Nathan Straus,310100010140,Elementary,New York City,Public,410,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,6,0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
2012-2013,New York,New York City Geographic District # 1,Ps 142 Amalia Castro,310100010142,Elementary,New York City,Public,413,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2012-2013,New York,New York City Geographic District # 1,Ps 15 Roberto Clemente,310100010015,Elementary,New York City,Public,188,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,15,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6
2012-2013,New York,New York City Geographic District # 1,Ps 184 Shuang Wen,310100010184,Elementary,New York City,Public,689,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
2012-2013,New York,New York City Geographic District # 1,Ps 188 Island School (the),310100010188,Elementary,New York City,Public,467,0,0,0,0,0,4,0,0,0,1,0,0,0,0,4,0,2,6,9,6,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2012-2013,New York,New York City Geographic District # 1,Ps 19 Asher Levy,310100010019,Elementary,New York City,Public,303,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-2013,New York,New York City Geographic District # 1,Ps 20 Anna Silver,310100010020,Elementary,New York City,Public,623,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2012-2013,New York,New York City Geographic District # 1,Ps 34 Franklin D Roosevelt,310100010034,Elementary,New York City,Public,408,0,0,0,0,0,3,0,0,0,0,0,0,0,1,4,0,1,2,54,0,7,0,0,0,5,0,0,0,0,0,0,0,1,0,0,2
2012-2013,New York,New York City Geographic District # 1,Ps 64 Robert Simon,310100010064,Elementary,New York City,Public,315,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,4,2,31,4,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,57
2012-2013,New York,New York City Geographic District # 1,School For Global Leaders,310100010378,Middle,New York City,Public,249,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11
2012-2013,New York,New York City Geographic District # 1,Star Academy Ps 63 (the),310100010063,Elementary,New York City,Public,171,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,16,0,3,0,0,0,4,0,0,0,0,0,0,0,1,0,0,6
2012-2013,New York,New York City Geographic District # 1,"Technology, Arts And Sciences Studio School",310100010301,Middle,New York City,Public,165,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,16
2012-2013,New York,New York City Geographic District # 1,Tompkins Square Middle School,310100010839,Middle,New York City,Public,384,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2012-2013,New York,New York City Geographic District # 1,University Neighborhood High School,310100011448,Senior High,New York City,Public,324,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,8,2,3,0,0,0,0,0,4,0,0,0,0,0,0,6,0,2
2012-2013,New York,New York City Geographic District # 1,University Neighborhood Middle School,310100010332,Middle,New York City,Public,118,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2012-2013,New York,New York City Geographic District # 2,47 American Sign Language And English Lower School (the),310200010347,Elementary,New York City,Public,227,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,2,20,0,6,0,0,0,1,0,0,2,0,0,0,0,0,0,0,5
2012-2013,New York,New York City Geographic District # 2,Academy For Software Engineering,310200011546,,New York City,Public,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2
2012-2013,New York,New York City Geographic District # 2,American Sign Language & English Secondary School,310200010047,Senior High,New York City,Public,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,6
2012-2013,New York,New York City Geographic District # 2,Art And Design High School,310200011630,Senior High,New York City,Public,1367,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,17,0,6,0,0,0,5,0,4,0,0,0,0,0,4,0,1,32
2012-2013,New York,New York City Geographic District # 2,Ballet Tech/nyc Public School For Dance ,310200011442,Elementary,New York City,Public,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-2013,New York,New York City Geographic District # 2,Baruch College Campus High School,310200011411,Senior High,New York City,Public,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
2012-2013,New York,New York City Geographic District # 2,Battery Park City School,310200010276,Elementary,New York City,Public,795,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2012-2013,New York,New York City Geographic District # 2,Business Of Sports School,310200011393,Senior High,New York City,Public,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,8,0,0,0,1,0,0,0,1,0,0,0,1,2,0,4
2012-2013,New York,New York City Geographic District # 2,Chelsea Career And Technical Education High School,310200011615,Senior High,New York City,Public,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,4,0,0,0,1,0,1,0,0,0,0,0,2,0,2,19
2012-2013,New York,New York City Geographic District # 2,East Side Elementray School-ps 267,310200010267,Elementary,,Public,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,New York,New York City Geographic District # 2,East Side Middle School,310200010114,Middle,New York City,Public,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,New York,New York City Geographic District # 2,Eleanor Roosevelt High School,310200010416,Senior High,New York City,Public,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-2013,New York,New York City Geographic District # 2,Ella Baker School,310200011225,Elementary,New York City,Public,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,New York,New York City Geographic District # 2,Emma Lazarus High School,310200011394,Senior High,New York City,Public,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,New York,New York City Geographic District # 2,Essex Street Academy,310200011294,Senior High,New York City,Public,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2012-2013,New York,New York City Geographic District # 2,Facing History School (the),310200011303,Senior High,New York City,Public,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,4
2012-2013,New York,New York City Geographic District # 2,Food And Finance High School,310200011288,Senior High,New York City,Public,432,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,12,0,6,0,0,0,0,0,2,0,0,0,0,2,0,7,0,11
2012-2013,New York,New York City Geographic District # 2,Gramercy Arts High School,310200011374,Senior High,New York City,Public,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2012-2013,New York,New York City Geographic District # 2,Harvest Collegiate High School,310200011534,,New York City,Public,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2012-2013,New York,New York City Geographic District # 2,Harvey Milk High School,310200011586,Senior High,New York City,Public,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
2012-2013,New York,New York City Geographic District # 2,High School For Dual Language And Asian Studies,310200011545,Senior High,New York City,Public,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,New York,New York City Geographic District # 2,High School For Environmental Studies ,310200011400,Senior High,New York City,Public,1327,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,5,0,5,0,0,0,1,0,1,0,1,0,0,2,1,1,1,0
2012-2013,New York,New York City Geographic District # 2,High School For Health Professions & Human Services,310200011420,Senior High,New York City,Public,1706,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,23,0,9,0,0,0,3,0,2,0,0,0,0,0,1,2,0,23
2012-2013,New York,New York City Geographic District # 2,High School For Language And Diplomacy,310200011399,Senior High,New York City,Public,334,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4
2012-2013,New York,New York City Geographic District # 2,High School Of Economics & Finance ,310200011489,Senior High,New York City,Public,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,1,0,2,0,1,0,0,0,0,3,0,4
2012-2013,New York,New York City Geographic District # 2,High School Of Fashion Industries (the),310200011600,Senior High,New York City,Public,1666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
2012-2013,New York,New York City Geographic District # 2,High School Of Graphic Communication Arts,310200011625,Senior High,New York City,Public,1194,0,0,0,0,0,3,0,0,0,1,0,0,0,0,5,0,3,1,34,3,23,0,0,0,2,0,5,0,2,0,0,14,2,12,6,59
2012-2013,New York,New York City Geographic District # 2,High School Of Hospitality Management,310200011296,Senior High,New York City,Public,400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,19,0,8,0,0,0,1,0,0,0,0,0,0,3,1,5,1,31
2012-2013,New York,New York City Geographic District # 2,Hs 560 City-as-school,310200011560,Senior High,New York City,Public,594,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012-2013,New York,New York City Geographic District # 2,Hudson High School Of Learning Technologies,310200011437,Senior High,New York City,Public,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
2012-2013,New York,New York City Geographic District # 2,Humanities Preparatory Academy,310200011605,Senior High,New York City,Public,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,New York,New York City Geographic District # 2,Independence High School,310200011544,Senior High,New York City,Public,376,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
2012-2013,New York,New York City Geographic District # 2,Institute For Collaborative Education,310200011407,Junior-Senior High,New York City,Public,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
