School Year,County,District,School Name,BEDS Code,Grade Organization,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon Possession Through Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2012-2013,Bronx,New York City Geographic District # 7,Ps 49 Willis Avenue,320700010049,Elementary,New York City,Public,663,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012-2013,Bronx,New York City Geographic District # 7,Ps 5 Port Morris,320700010005,Elementary,New York City,Public,610,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,1,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2012-2013,Bronx,New York City Geographic District # 7,Ps 65 Mother Hale Academy,320700010065,Elementary,New York City,Public,419,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,0,2,5,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District # 7,Ps/is 224,320700010224,Middle,New York City,Public,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,0,4,0,0,0,1,0,1,0,0,0,0,0,2,0,0,3
2012-2013,Bronx,New York City Geographic District # 7,Ps/ms 29 Melrose School,320700010029,Elementary,New York City,Public,731,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,2,2,31,3,6,0,0,0,3,0,0,0,0,0,0,0,4,0,0,10
2012-2013,Bronx,New York City Geographic District # 7,Ps/ms 31 The William Lloyd Garrison,320700010031,Elementary,New York City,Public,636,0,0,0,0,0,2,0,0,0,0,0,0,0,2,9,0,1,1,17,1,17,0,0,0,3,0,0,0,0,0,0,0,2,0,1,12
2012-2013,Bronx,New York City Geographic District # 7,Samuel Gompers Career And Technical Education High School,320700011655,Senior High,New York City,Public,402,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,7,0,0,0,1,0,1,0,0,0,0,2,1,1,0,7
2012-2013,Bronx,New York City Geographic District # 7,South Bronx Academy For Applied Media,320700010296,Middle,New York City,Public,399,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,14,1,1,0,0,1,1,0,0,0,1,0,0,0,6,1,0,3
2012-2013,Bronx,New York City Geographic District # 7,South Bronx Preparatory - A College Board School,320700011221,Junior-Senior High,New York City,Public,632,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1
2012-2013,Bronx,New York City Geographic District # 7,University Heights Secondary School-bronx Community College,320700011495,Senior High,New York City,Public,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12
2012-2013,Bronx,New York City Geographic District # 7,Urban Assembly Bronx Academy Of Letters (the),320700011551,Junior-Senior High,New York City,Public,563,0,0,0,0,0,3,0,1,0,1,0,0,0,4,1,0,2,0,41,0,8,0,0,0,4,0,1,0,0,0,0,0,4,2,1,15
2012-2013,Bronx,New York City Geographic District #10,Ampark Neighborhood,321000010344,Elementary,New York City,Public,296,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2012-2013,Bronx,New York City Geographic District # 7,Urban Assembly School For Careers In Sports,320700011548,Senior High,New York City,Public,521,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,18,0,5,0,0,0,1,0,1,0,0,0,0,2,1,1,0,2
2012-2013,Bronx,New York City Geographic District # 7,Young Leaders Elementary School,320700010369,Elementary,New York City,Public,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-2013,Bronx,New York City Geographic District # 8,Academy Of The Arts (the),320800010335,Elementary,New York City,Public,234,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District # 8,Antonia Pantoja Preparatory Academy,320800011376,Junior High,New York City,Public,441,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1,1,26,0,12,0,0,0,1,0,2,0,0,0,0,2,1,0,2,18
2012-2013,Bronx,New York City Geographic District # 8,"Archimedes Academy For Math, Science And Technology Applications",320800011367,Junior High,New York City,Public,579,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,20,0,0,0,0,0,2,0,1,0,2,0,0,2,4,1,0,11
2012-2013,Bronx,New York City Geographic District # 8,Banana Kelly High School,320800011530,Senior High,New York City,Public,423,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,2
2012-2013,Bronx,New York City Geographic District # 8,Blueprint Middle School,320800010562,,New York City,Public,97,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District # 8,Bronx Arena High School,320800011537,,New York City,Public,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,10
2012-2013,Bronx,New York City Geographic District # 8,Bronx Bridges High School,320800011432,Senior High,New York City,Public,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District # 8,Bronx Community High School,320800011377,Senior High,New York City,Public,202,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2
2012-2013,Bronx,New York City Geographic District # 8,Bronx Compass High School,320800011561,,New York City,Public,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2012-2013,Bronx,New York City Geographic District # 8,Bronx Guild High School,320800011452,Senior High,New York City,Public,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1
2012-2013,Bronx,New York City Geographic District # 8,Bronx Mathematics Preparatory School (the),320800010375,Middle,New York City,Public,308,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,2,2,6,2,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6
2012-2013,Bronx,New York City Geographic District # 8,Bronx Studio School For Writers And Artists,320800011269,Junior-Senior High,New York City,Public,539,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,19,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4
2012-2013,Bronx,New York City Geographic District # 8,Felisa Rincon De Gautier Institute For Law And Public Policy,320800011519,Senior High,New York City,Public,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,2,17,0,0,0,0,0,1,0,1,0,0,1,1,0,0,65
2012-2013,Bronx,New York City Geographic District # 8,Gateway School For Environmental Research And Technology,320800011295,Senior High,New York City,Public,304,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,8,2,8,0,0,0,3,0,2,0,0,0,0,3,2,1,2,15
2012-2013,Bronx,New York City Geographic District # 8,Herbert H Lehman High School,320800011405,Senior High,New York City,Public,2813,0,0,0,0,0,2,0,0,1,2,1,0,0,4,37,2,1,5,68,4,35,0,0,0,1,0,5,1,5,0,0,25,2,19,3,34
2012-2013,Bronx,New York City Geographic District # 8,Holcombe L Rucker School Of Community Research,320800011332,Senior High,New York City,Public,312,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0
